epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,272.296,0.48183,0.38911,0.23654,0.30515,0.9164,0.63062,0.63158,0.42006,0.15902,0.86713,0.86842,0.78015,0.44502,2.36669,3.90106,0.23918,1.8304,3.22016,0.000944,0.000944,0.000944
82,275.241,0.49739,0.44722,0.21858,0.31335,0.90632,0.63063,0.63158,0.40944,0.16323,0.8934,0.89474,0.80079,0.45034,2.48058,3.68599,0.23146,1.83844,3.27273,0.0009308,0.0009308,0.0009308
83,278.234,0.46067,0.43902,0.23993,0.30122,0.89048,0.60437,0.60526,0.36618,0.14675,0.89344,0.89474,0.80079,0.42928,2.40861,3.62423,0.23072,1.92572,3.28431,0.0009176,0.0009176,0.0009176
84,281.25,0.46019,0.37754,0.23264,0.29391,0.90504,0.60437,0.60526,0.36618,0.14553,0.86714,0.86842,0.75118,0.42693,2.4442,3.70356,0.23104,2.04996,3.32301,0.0009044,0.0009044,0.0009044
85,284.29,0.47731,0.421,0.24658,0.30474,0.90864,0.65691,0.65789,0.4616,0.15425,0.84085,0.84211,0.72695,0.42921,2.46491,3.62673,0.21639,1.76265,3.51541,0.0008912,0.0008912,0.0008912
86,287.29,0.50084,0.47002,0.24876,0.31579,0.90003,0.63058,0.63158,0.40463,0.14531,0.8408,0.84211,0.72898,0.41754,2.32489,3.82999,0.23448,1.73088,3.32817,0.000878,0.000878,0.000878
87,290.318,0.47673,0.50246,0.23544,0.31728,0.90498,0.60429,0.60526,0.36618,0.13999,0.86702,0.86842,0.75842,0.43298,2.36553,3.51693,0.21893,1.71339,3.28009,0.0008648,0.0008648,0.0008648
88,293.259,0.45778,0.4549,0.24613,0.30302,0.90179,0.65691,0.65789,0.45429,0.15558,0.84084,0.84211,0.73327,0.43001,2.3953,3.52492,0.23439,1.7598,3.39586,0.0008516,0.0008516,0.0008516
89,296.17,0.46541,0.42303,0.23318,0.29568,0.88406,0.63066,0.63158,0.41097,0.1484,0.86715,0.86842,0.77156,0.43107,2.3513,3.38092,0.22042,1.79069,3.45101,0.0008384,0.0008384,0.0008384
90,299.138,0.49067,0.49877,0.24673,0.30907,0.90103,0.63061,0.63158,0.44854,0.17941,0.84084,0.84211,0.78271,0.47798,2.37785,3.3882,0.23804,1.59346,3.45789,0.0008252,0.0008252,0.0008252
91,302.192,0.45205,0.38572,0.22462,0.30045,0.89462,0.65683,0.65789,0.49184,0.17502,0.89332,0.89474,0.8566,0.47316,2.3099,3.21628,0.24305,1.48675,3.28948,0.000812,0.000812,0.000812
92,305.252,0.46473,0.4917,0.24482,0.30704,0.90044,0.65689,0.65789,0.49217,0.19829,0.84085,0.84211,0.76707,0.49696,2.43769,3.24777,0.23098,1.50899,3.55597,0.0007988,0.0007988,0.0007988
93,308.254,0.46283,0.39218,0.20637,0.30167,0.89554,0.65693,0.65789,0.54041,0.21069,0.84087,0.84211,0.77582,0.51342,2.30596,3.25564,0.22823,1.54125,3.38116,0.0007856,0.0007856,0.0007856
94,311.229,0.44683,0.36319,0.21013,0.28567,0.9011,0.65698,0.65789,0.53328,0.21468,0.86721,0.86842,0.79898,0.50298,2.36642,3.19116,0.23413,1.46807,3.44855,0.0007724,0.0007724,0.0007724
95,314.274,0.45323,0.47433,0.2157,0.29695,0.89413,0.65692,0.65789,0.48951,0.19433,0.81461,0.81579,0.69565,0.47143,2.33719,3.26557,0.23036,1.43041,3.40229,0.0007592,0.0007592,0.0007592
96,317.378,0.44177,0.40849,0.2128,0.28299,0.89594,0.68321,0.68421,0.54015,0.19138,0.84088,0.84211,0.76366,0.4908,2.28781,3.08839,0.21647,1.46334,3.38048,0.000746,0.000746,0.000746
97,320.507,0.43379,0.35352,0.21807,0.2811,0.90123,0.65697,0.65789,0.54203,0.2103,0.86716,0.86842,0.81001,0.50424,2.31891,3.00701,0.20295,1.51215,3.41612,0.0007328,0.0007328,0.0007328
98,323.525,0.45297,0.42596,0.23579,0.30853,0.89757,0.63064,0.63158,0.42893,0.18168,0.8934,0.89474,0.82636,0.46828,2.34054,3.03829,0.20911,1.53124,3.43646,0.0007196,0.0007196,0.0007196
99,326.449,0.43013,0.3501,0.21527,0.29602,0.8833,0.68319,0.68421,0.54456,0.20546,0.89343,0.89474,0.84897,0.50163,2.37833,3.25264,0.21401,1.52482,3.47994,0.0007064,0.0007064,0.0007064
